Characteristic,Number of Features,Accuracy
subtlety,1,67.85
internalStructure,1,61.39
calcification,1,61.14
sphericity,1,60.90
margin,1,67.30
lobulation,1,74.75
spiculation,1,76.50
texture,1,64.31
subtlety<br>internalStructure,2,67.99
subtlety<br>calcification,2,80.45
subtlety<br>sphericity,2,69.59
subtlety<br>margin,2,78.06
subtlety<br>lobulation,2,77.07
subtlety<br>spiculation,2,77.71
subtlety<br>texture,2,69.82
internalStructure<br>calcification,2,61.39
internalStructure<br>sphericity,2,61.07
internalStructure<br>margin,2,67.37
internalStructure<br>lobulation,2,74.92
internalStructure<br>spiculation,2,76.57
internalStructure<br>texture,2,64.50
calcification<br>sphericity,2,65.53
calcification<br>margin,2,69.86
calcification<br>lobulation,2,78.36
calcification<br>spiculation,2,78.46
calcification<br>texture,2,64.58
sphericity<br>margin,2,68.61
sphericity<br>lobulation,2,74.59
sphericity<br>spiculation,2,76.41
sphericity<br>texture,2,64.16
margin<br>lobulation,2,74.88
margin<br>spiculation,2,76.39
margin<br>texture,2,68.24
lobulation<br>spiculation,2,76.80
lobulation<br>texture,2,75.41
spiculation<br>texture,2,76.41
subtlety<br>internalStructure<br>calcification,3,80.55
subtlety<br>internalStructure<br>sphericity,3,69.77
subtlety<br>internalStructure<br>margin,3,78.06
subtlety<br>internalStructure<br>lobulation,3,77.21
subtlety<br>internalStructure<br>spiculation,3,77.77
subtlety<br>internalStructure<br>texture,3,69.95
subtlety<br>calcification<br>sphericity,3,80.32
subtlety<br>calcification<br>margin,3,83.54
subtlety<br>calcification<br>lobulation,3,84.06
subtlety<br>calcification<br>spiculation,3,83.18
subtlety<br>calcification<br>texture,3,81.15
subtlety<br>sphericity<br>margin,3,78.04
subtlety<br>sphericity<br>lobulation,3,77.16
subtlety<br>sphericity<br>spiculation,3,77.43
subtlety<br>sphericity<br>texture,3,73.46
subtlety<br>margin<br>lobulation,3,79.33
subtlety<br>margin<br>spiculation,3,79.51
subtlety<br>margin<br>texture,3,77.93
subtlety<br>lobulation<br>spiculation,3,79.92
subtlety<br>lobulation<br>texture,3,79.32
subtlety<br>spiculation<br>texture,3,78.81
internalStructure<br>calcification<br>sphericity,3,65.81
internalStructure<br>calcification<br>margin,3,69.89
internalStructure<br>calcification<br>lobulation,3,78.49
internalStructure<br>calcification<br>spiculation,3,78.51
internalStructure<br>calcification<br>texture,3,64.80
internalStructure<br>sphericity<br>margin,3,68.68
internalStructure<br>sphericity<br>lobulation,3,74.73
internalStructure<br>sphericity<br>spiculation,3,76.41
internalStructure<br>sphericity<br>texture,3,64.41
internalStructure<br>margin<br>lobulation,3,74.92
internalStructure<br>margin<br>spiculation,3,76.43
internalStructure<br>margin<br>texture,3,68.26
internalStructure<br>lobulation<br>spiculation,3,76.90
internalStructure<br>lobulation<br>texture,3,75.51
internalStructure<br>spiculation<br>texture,3,76.41
calcification<br>sphericity<br>margin,3,70.33
calcification<br>sphericity<br>lobulation,3,78.24
calcification<br>sphericity<br>spiculation,3,78.38
calcification<br>sphericity<br>texture,3,66.48
calcification<br>margin<br>lobulation,3,78.25
calcification<br>margin<br>spiculation,3,78.44
calcification<br>margin<br>texture,3,71.06
calcification<br>lobulation<br>spiculation,3,81.22
calcification<br>lobulation<br>texture,3,79.14
calcification<br>spiculation<br>texture,3,78.23
sphericity<br>margin<br>lobulation,3,75.67
sphericity<br>margin<br>spiculation,3,75.85
sphericity<br>margin<br>texture,3,68.80
sphericity<br>lobulation<br>spiculation,3,76.38
sphericity<br>lobulation<br>texture,3,75.27
sphericity<br>spiculation<br>texture,3,76.22
margin<br>lobulation<br>spiculation,3,77.41
margin<br>lobulation<br>texture,3,76.22
margin<br>spiculation<br>texture,3,76.74
lobulation<br>spiculation<br>texture,3,76.27
subtlety<br>internalStructure<br>calcification<br>sphericity,4,80.50
subtlety<br>internalStructure<br>calcification<br>margin,4,83.47
subtlety<br>internalStructure<br>calcification<br>lobulation,4,84.11
subtlety<br>internalStructure<br>calcification<br>spiculation,4,83.15
subtlety<br>internalStructure<br>calcification<br>texture,4,81.22
subtlety<br>internalStructure<br>sphericity<br>margin,4,77.98
subtlety<br>internalStructure<br>sphericity<br>lobulation,4,77.25
subtlety<br>internalStructure<br>sphericity<br>spiculation,4,77.42
subtlety<br>internalStructure<br>sphericity<br>texture,4,73.60
subtlety<br>internalStructure<br>margin<br>lobulation,4,79.22
subtlety<br>internalStructure<br>margin<br>spiculation,4,79.48
subtlety<br>internalStructure<br>margin<br>texture,4,77.81
subtlety<br>internalStructure<br>lobulation<br>spiculation,4,79.97
subtlety<br>internalStructure<br>lobulation<br>texture,4,79.48
subtlety<br>internalStructure<br>spiculation<br>texture,4,78.82
subtlety<br>calcification<br>sphericity<br>margin,4,83.25
subtlety<br>calcification<br>sphericity<br>lobulation,4,84.18
subtlety<br>calcification<br>sphericity<br>spiculation,4,83.09
subtlety<br>calcification<br>sphericity<br>texture,4,81.64
subtlety<br>calcification<br>margin<br>lobulation,4,84.07
subtlety<br>calcification<br>margin<br>spiculation,4,84.14
subtlety<br>calcification<br>margin<br>texture,4,83.16
subtlety<br>calcification<br>lobulation<br>spiculation,4,84.82
subtlety<br>calcification<br>lobulation<br>texture,4,84.44
subtlety<br>calcification<br>spiculation<br>texture,4,83.78
subtlety<br>sphericity<br>margin<br>lobulation,4,79.53
subtlety<br>sphericity<br>margin<br>spiculation,4,79.75
subtlety<br>sphericity<br>margin<br>texture,4,78.08
subtlety<br>sphericity<br>lobulation<br>spiculation,4,79.40
subtlety<br>sphericity<br>lobulation<br>texture,4,79.08
subtlety<br>sphericity<br>spiculation<br>texture,4,78.52
subtlety<br>margin<br>lobulation<br>spiculation,4,80.06
subtlety<br>margin<br>lobulation<br>texture,4,79.26
subtlety<br>margin<br>spiculation<br>texture,4,80.07
subtlety<br>lobulation<br>spiculation<br>texture,4,79.89
internalStructure<br>calcification<br>sphericity<br>margin,4,70.34
internalStructure<br>calcification<br>sphericity<br>lobulation,4,78.31
internalStructure<br>calcification<br>sphericity<br>spiculation,4,78.37
internalStructure<br>calcification<br>sphericity<br>texture,4,66.66
internalStructure<br>calcification<br>margin<br>lobulation,4,78.23
internalStructure<br>calcification<br>margin<br>spiculation,4,78.39
internalStructure<br>calcification<br>margin<br>texture,4,71.03
internalStructure<br>calcification<br>lobulation<br>spiculation,4,81.23
internalStructure<br>calcification<br>lobulation<br>texture,4,79.23
internalStructure<br>calcification<br>spiculation<br>texture,4,78.17
internalStructure<br>sphericity<br>margin<br>lobulation,4,75.64
internalStructure<br>sphericity<br>margin<br>spiculation,4,75.83
internalStructure<br>sphericity<br>margin<br>texture,4,68.71
internalStructure<br>sphericity<br>lobulation<br>spiculation,4,76.45
internalStructure<br>sphericity<br>lobulation<br>texture,4,75.28
internalStructure<br>sphericity<br>spiculation<br>texture,4,76.24
internalStructure<br>margin<br>lobulation<br>spiculation,4,77.34
internalStructure<br>margin<br>lobulation<br>texture,4,76.22
internalStructure<br>margin<br>spiculation<br>texture,4,76.65
internalStructure<br>lobulation<br>spiculation<br>texture,4,76.20
calcification<br>sphericity<br>margin<br>lobulation,4,78.51
calcification<br>sphericity<br>margin<br>spiculation,4,77.85
calcification<br>sphericity<br>margin<br>texture,4,70.95
calcification<br>sphericity<br>lobulation<br>spiculation,4,81.27
calcification<br>sphericity<br>lobulation<br>texture,4,78.99
calcification<br>sphericity<br>spiculation<br>texture,4,78.01
calcification<br>margin<br>lobulation<br>spiculation,4,81.19
calcification<br>margin<br>lobulation<br>texture,4,79.58
calcification<br>margin<br>spiculation<br>texture,4,78.82
calcification<br>lobulation<br>spiculation<br>texture,4,80.78
sphericity<br>margin<br>lobulation<br>spiculation,4,77.52
sphericity<br>margin<br>lobulation<br>texture,4,76.32
sphericity<br>margin<br>spiculation<br>texture,4,76.64
sphericity<br>lobulation<br>spiculation<br>texture,4,76.02
margin<br>lobulation<br>spiculation<br>texture,4,76.95
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin,5,83.20
subtlety<br>internalStructure<br>calcification<br>sphericity<br>lobulation,5,84.20
subtlety<br>internalStructure<br>calcification<br>sphericity<br>spiculation,5,83.05
subtlety<br>internalStructure<br>calcification<br>sphericity<br>texture,5,81.70
subtlety<br>internalStructure<br>calcification<br>margin<br>lobulation,5,84.00
subtlety<br>internalStructure<br>calcification<br>margin<br>spiculation,5,84.07
subtlety<br>internalStructure<br>calcification<br>margin<br>texture,5,83.15
subtlety<br>internalStructure<br>calcification<br>lobulation<br>spiculation,5,84.88
subtlety<br>internalStructure<br>calcification<br>lobulation<br>texture,5,84.47
subtlety<br>internalStructure<br>calcification<br>spiculation<br>texture,5,83.68
subtlety<br>internalStructure<br>sphericity<br>margin<br>lobulation,5,79.57
subtlety<br>internalStructure<br>sphericity<br>margin<br>spiculation,5,79.73
subtlety<br>internalStructure<br>sphericity<br>margin<br>texture,5,78.06
subtlety<br>internalStructure<br>sphericity<br>lobulation<br>spiculation,5,79.48
subtlety<br>internalStructure<br>sphericity<br>lobulation<br>texture,5,79.25
subtlety<br>internalStructure<br>sphericity<br>spiculation<br>texture,5,78.60
subtlety<br>internalStructure<br>margin<br>lobulation<br>spiculation,5,79.96
subtlety<br>internalStructure<br>margin<br>lobulation<br>texture,5,79.19
subtlety<br>internalStructure<br>margin<br>spiculation<br>texture,5,80.07
subtlety<br>internalStructure<br>lobulation<br>spiculation<br>texture,5,79.91
subtlety<br>calcification<br>sphericity<br>margin<br>lobulation,5,83.86
subtlety<br>calcification<br>sphericity<br>margin<br>spiculation,5,84.41
subtlety<br>calcification<br>sphericity<br>margin<br>texture,5,83.20
subtlety<br>calcification<br>sphericity<br>lobulation<br>spiculation,5,84.74
subtlety<br>calcification<br>sphericity<br>lobulation<br>texture,5,84.27
subtlety<br>calcification<br>sphericity<br>spiculation<br>texture,5,83.53
subtlety<br>calcification<br>margin<br>lobulation<br>spiculation,5,84.60
subtlety<br>calcification<br>margin<br>lobulation<br>texture,5,84.21
subtlety<br>calcification<br>margin<br>spiculation<br>texture,5,83.84
subtlety<br>calcification<br>lobulation<br>spiculation<br>texture,5,84.57
subtlety<br>sphericity<br>margin<br>lobulation<br>spiculation,5,79.70
subtlety<br>sphericity<br>margin<br>lobulation<br>texture,5,79.78
subtlety<br>sphericity<br>margin<br>spiculation<br>texture,5,79.87
subtlety<br>sphericity<br>lobulation<br>spiculation<br>texture,5,79.67
subtlety<br>margin<br>lobulation<br>spiculation<br>texture,5,79.97
internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation,5,78.52
internalStructure<br>calcification<br>sphericity<br>margin<br>spiculation,5,77.92
internalStructure<br>calcification<br>sphericity<br>margin<br>texture,5,70.90
internalStructure<br>calcification<br>sphericity<br>lobulation<br>spiculation,5,81.30
internalStructure<br>calcification<br>sphericity<br>lobulation<br>texture,5,79.03
internalStructure<br>calcification<br>sphericity<br>spiculation<br>texture,5,77.99
internalStructure<br>calcification<br>margin<br>lobulation<br>spiculation,5,81.13
internalStructure<br>calcification<br>margin<br>lobulation<br>texture,5,79.60
internalStructure<br>calcification<br>margin<br>spiculation<br>texture,5,78.75
internalStructure<br>calcification<br>lobulation<br>spiculation<br>texture,5,80.82
internalStructure<br>sphericity<br>margin<br>lobulation<br>spiculation,5,77.55
internalStructure<br>sphericity<br>margin<br>lobulation<br>texture,5,76.34
internalStructure<br>sphericity<br>margin<br>spiculation<br>texture,5,76.68
internalStructure<br>sphericity<br>lobulation<br>spiculation<br>texture,5,76.16
internalStructure<br>margin<br>lobulation<br>spiculation<br>texture,5,76.94
calcification<br>sphericity<br>margin<br>lobulation<br>spiculation,5,81.26
calcification<br>sphericity<br>margin<br>lobulation<br>texture,5,79.17
calcification<br>sphericity<br>margin<br>spiculation<br>texture,5,78.80
calcification<br>sphericity<br>lobulation<br>spiculation<br>texture,5,80.74
calcification<br>margin<br>lobulation<br>spiculation<br>texture,5,80.81
sphericity<br>margin<br>lobulation<br>spiculation<br>texture,5,77.50
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation,6,83.90
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>spiculation,6,84.41
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>texture,6,83.20
subtlety<br>internalStructure<br>calcification<br>sphericity<br>lobulation<br>spiculation,6,84.74
subtlety<br>internalStructure<br>calcification<br>sphericity<br>lobulation<br>texture,6,84.29
subtlety<br>internalStructure<br>calcification<br>sphericity<br>spiculation<br>texture,6,83.59
subtlety<br>internalStructure<br>calcification<br>margin<br>lobulation<br>spiculation,6,84.54
subtlety<br>internalStructure<br>calcification<br>margin<br>lobulation<br>texture,6,84.19
subtlety<br>internalStructure<br>calcification<br>margin<br>spiculation<br>texture,6,83.80
subtlety<br>internalStructure<br>calcification<br>lobulation<br>spiculation<br>texture,6,84.67
subtlety<br>internalStructure<br>sphericity<br>margin<br>lobulation<br>spiculation,6,79.82
subtlety<br>internalStructure<br>sphericity<br>margin<br>lobulation<br>texture,6,79.78
subtlety<br>internalStructure<br>sphericity<br>margin<br>spiculation<br>texture,6,79.87
subtlety<br>internalStructure<br>sphericity<br>lobulation<br>spiculation<br>texture,6,79.81
subtlety<br>internalStructure<br>margin<br>lobulation<br>spiculation<br>texture,6,79.87
subtlety<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation,6,84.23
subtlety<br>calcification<br>sphericity<br>margin<br>lobulation<br>texture,6,84.16
subtlety<br>calcification<br>sphericity<br>margin<br>spiculation<br>texture,6,84.45
subtlety<br>calcification<br>sphericity<br>lobulation<br>spiculation<br>texture,6,84.69
subtlety<br>calcification<br>margin<br>lobulation<br>spiculation<br>texture,6,84.67
subtlety<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,6,80.37
internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation,6,81.30
internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>texture,6,79.23
internalStructure<br>calcification<br>sphericity<br>margin<br>spiculation<br>texture,6,78.87
internalStructure<br>calcification<br>sphericity<br>lobulation<br>spiculation<br>texture,6,80.69
internalStructure<br>calcification<br>margin<br>lobulation<br>spiculation<br>texture,6,80.77
internalStructure<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,6,77.38
calcification<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,6,81.13
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation,7,84.35
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>texture,7,84.17
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>spiculation<br>texture,7,84.42
subtlety<br>internalStructure<br>calcification<br>sphericity<br>lobulation<br>spiculation<br>texture,7,84.76
subtlety<br>internalStructure<br>calcification<br>margin<br>lobulation<br>spiculation<br>texture,7,84.62
subtlety<br>internalStructure<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,7,80.39
subtlety<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,7,84.57
internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,7,81.14
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,8,84.61
